coordinate[cm],Fission rate density change,Uncertanity,+sigma,-sigma
127,3.789E+017,0.01856,3.85932384E+017,3.71867616E+017
128,1.25099999999998E+017,0.01797,1.27348046999998E+017,1.22851952999998E+017
129,-2.83600000000002E+017,0.01756,-2.88580016000002E+017,-2.78619984000002E+017
130,-7.8200000000002E+016,0.01858,-7.96529560000021E+016,-7.6747044000002E+016
131,-1.846E+017,0.01832,-1.87981872E+017,-1.81218128E+017
132,2.055E+017,0.01906,2.0941683E+017,2.0158317E+017
133,-3.13E+016,0.01881,-3.1888753E+016,-3.0711247E+016
134,1.065E+017,0.01854,1.0847451E+017,1.0452549E+017
135,2.65499999999998E+017,0.01963,2.70711764999998E+017,2.60288234999998E+017
136,5.43900000000002E+017,0.01871,5.54076369000002E+017,5.33723631000002E+017
137,4.285E+017,0.01901,4.36645785E+017,4.20354215E+017
138,1.496E+017,0.01859,1.52381064E+017,1.46818936E+017
139,2.45999999999998E+017,0.01843,2.50533779999998E+017,2.41466219999998E+017
140,1.018E+017,0.01908,1.03742344E+017,9.9857656E+016
141,4.24099999999998E+017,0.01984,4.32514143999998E+017,4.15685855999998E+017
142,5.776E+017,0.01827,5.88152752E+017,5.67047248E+017
143,5.543E+017,0.02022,5.65507946E+017,5.43092054E+017
144,2.489E+017,0.01982,2.53833198E+017,2.43966802E+017
145,4.407E+017,0.02008,4.49549256E+017,4.31850744E+017
146,3.398E+017,0.02059,3.46796482E+017,3.32803518E+017
147,7.889E+017,0.02022,8.04851558E+017,7.72948442E+017
148,5.692E+017,0.02076,5.81016592E+017,5.57383408E+017
149,5.144E+017,0.0196,5.2448224E+017,5.0431776E+017
150,3.197E+017,0.02011,3.26129167E+017,3.13270833E+017
151,4.562E+017,0.01967,4.65173454E+017,4.47226546E+017
152,4.52699999999998E+017,0.02133,4.62356090999998E+017,4.43043908999998E+017
153,4.482E+017,0.0208,4.5752256E+017,4.3887744E+017
154,8.0199999999998E+016,0.02113,8.18946259999979E+016,7.8505373999998E+016
155,2.697E+017,0.02251,2.75770947E+017,2.63629053E+017
156,6.511E+017,0.02082,6.64655902E+017,6.37544098E+017
